repository,pr_number,pr_outcome,weighted_negativity_ratio,total_feedback,has_any_negative_feedback,num_positive_comments,num_neutral_comments,num_negative_comments,total_comments,num_positive_reviews,num_neutral_reviews,num_negative_reviews,total_reviews,num_positive_review_comments,num_neutral_review_comments,num_negative_review_comments,total_review_comments
terminal,589,merged,0.15384615384615385,6.5,1,0,3,1,4,1,0,0,1,0,0,0,0
terminal,740,merged,0.0,11.5,0,1,0,0,1,2,0,0,2,0,2,0,2
terminal,193,rejected,0.0,5.5,0,0,3,0,3,0,1,0,1,0,0,0,0
terminal,200,merged,0.0,10.5,0,0,0,0,0,0,2,0,2,0,2,0,2
terminal,204,merged,0.0,6.5,0,0,2,0,2,1,1,0,2,0,0,0,0
terminal,136,merged,0.2608695652173913,11.5,1,0,0,0,0,0,1,0,1,0,2,1,3
terminal,146,rejected,0.0,11.5,0,0,0,0,0,1,0,0,1,0,3,0,3
terminal,417,rejected,0.0,4.5,0,1,3,0,4,0,0,0,0,0,0,0,0
terminal,404,merged,0.0,7.5,0,0,1,0,1,1,2,0,3,0,0,0,0
terminal,416,merged,0.2608695652173913,11.5,1,0,0,0,0,0,1,0,1,0,2,1,3
terminal,446,rejected,0.0,5.5,0,0,3,0,3,1,0,0,1,0,0,0,0
terminal,448,rejected,0.0,4.5,0,1,3,0,4,0,0,0,0,0,0,0,0
terminal,512,merged,0.0,9.5,0,0,0,0,0,0,0,0,0,1,2,0,3
terminal,546,rejected,0.2222222222222222,4.5,1,1,2,1,4,0,0,0,0,0,0,0,0
audacity,835,rejected,0.2936480388753905,1440.5,1,151,547,391,1089,1,1,1,3,5,100,10,115
audacity,1384,rejected,0.022193768672641914,1171.5,1,6,8,0,14,1,5,1,7,18,355,8,381
audacity,4414,merged,0.1249475890985325,1192.5,1,4,36,2,42,0,2,0,2,26,307,49,382
audacity,2295,merged,0.01794616151545364,501.5,1,3,18,1,22,0,0,1,1,10,147,2,159
audacity,5791,merged,0.07209062821833162,485.5,1,0,8,2,10,1,1,0,2,8,138,11,157
audacity,5043,merged,0.07169344870210136,404.5,1,5,30,2,37,0,2,0,2,5,107,9,121
audacity,4881,rejected,0.06799531066822978,426.5,1,0,11,2,13,0,1,0,1,17,111,9,137
audacity,3176,merged,0.04094488188976378,317.5,1,4,35,4,43,0,5,0,5,4,81,3,88
audacity,5041,merged,0.05067064083457526,335.5,1,4,22,1,27,0,2,2,4,12,84,4,100
audacity,1207,merged,0.024226110363391656,371.5,1,0,1,0,1,0,2,0,2,13,106,3,122
audacity,2121,merged,0.09155937052932761,349.5,1,3,6,2,11,1,3,0,4,13,87,10,110
audacity,836,merged,0.05598755832037325,321.5,1,4,11,9,24,0,3,0,3,7,87,3,97
audacity,4771,merged,0.07633587786259542,327.5,1,2,9,4,15,0,0,0,0,8,89,7,104
audacity,2668,merged,0.030456852791878174,295.5,1,2,8,0,10,0,0,0,0,5,87,3,95
audacity,4797,merged,0.07787610619469026,282.5,1,3,9,1,13,1,0,0,1,7,75,7,89
audacity,5138,merged,0.0425531914893617,211.5,1,1,43,3,47,0,1,0,1,4,48,2,54
